Team_Name,Player_Name,Player_No,espn_url,Position,Age,Height,Weight,College,Salary,espn_id,espn_headshot
San Antonio Spurs,Dominick Barlow,26,https://www.espn.com/nba/player/_/id/4870562/dominick-barlow,F,20,"6' 9""",215 lbs,--,$455_620,4870562,https://a.espncdn.com/i/headshots/nba/players/full/4870562.png
San Antonio Spurs,Charles Bassey,28,https://www.espn.com/nba/player/_/id/4397886/charles-bassey,C,23,"6' 10""",230 lbs,Western Kentucky,$2_600_000,4397886,https://a.espncdn.com/i/headshots/nba/players/full/4397886.png
San Antonio Spurs,Jamaree Bouyea,21,https://www.espn.com/nba/player/_/id/4280245/jamaree-bouyea,G,24,"6' 2""",180 lbs,San Francisco,--,4280245,https://a.espncdn.com/i/headshots/nba/players/full/4280245.png
San Antonio Spurs,Malaki Branham,22,https://www.espn.com/nba/player/_/id/4565201/malaki-branham,G,20,"6' 4""",180 lbs,Ohio State,$3_071_880,4565201,https://a.espncdn.com/i/headshots/nba/players/full/4565201.png
San Antonio Spurs,Julian Champagnie,30,https://www.espn.com/nba/player/_/id/4592479/julian-champagnie,F,22,"6' 7""",217 lbs,St. John's,$3_000_000,4592479,https://a.espncdn.com/i/headshots/nba/players/full/4592479.png
San Antonio Spurs,Sidy Cissoko,25,https://www.espn.com/nba/player/_/id/5081727/sidy-cissoko,G,19,"6' 6""",200 lbs,--,$1_119_563,5081727,https://a.espncdn.com/i/headshots/nba/players/full/5081727.png
San Antonio Spurs,Zach Collins,23,https://www.espn.com/nba/player/_/id/4066650/zach-collins,PF,26,"6' 11""",250 lbs,Gonzaga,$7_700_000,4066650,https://a.espncdn.com/i/headshots/nba/players/full/4066650.png
San Antonio Spurs,David Duke Jr.,7,https://www.espn.com/nba/player/_/id/4397107/david-duke-jr,G,24,"6' 4""",204 lbs,Providence,--,4397107,https://a.espncdn.com/i/headshots/nba/players/full/4397107.png
San Antonio Spurs,Devonte' Graham,4,https://www.espn.com/nba/player/_/id/3133601/devonte-graham,PG,29,"6' 1""",195 lbs,Kansas,$12_100_000,3133601,https://a.espncdn.com/i/headshots/nba/players/full/3133601.png
San Antonio Spurs,RaiQuan Gray,0,https://www.espn.com/nba/player/_/id/4277850/raiquan-gray,F,24,"6' 7""",269 lbs,Florida State,--,4277850,https://a.espncdn.com/i/headshots/nba/players/full/4277850.png
San Antonio Spurs,Keldon Johnson,3,https://www.espn.com/nba/player/_/id/4395723/keldon-johnson,SF,24,"6' 5""",220 lbs,Kentucky,$20_000_000,4395723,https://a.espncdn.com/i/headshots/nba/players/full/4395723.png
San Antonio Spurs,Tre Jones,33,https://www.espn.com/nba/player/_/id/4395626/tre-jones,PG,24,"6' 1""",185 lbs,Duke,$9_895_833,4395626,https://a.espncdn.com/i/headshots/nba/players/full/4395626.png
San Antonio Spurs,Sandro Mamukelashvili,54,https://www.espn.com/nba/player/_/id/4278580/sandro-mamukelashvili,PF,24,"6' 9""",240 lbs,Seton Hall,$2_019_760,4278580,https://a.espncdn.com/i/headshots/nba/players/full/4278580.png
San Antonio Spurs,Cedi Osman,16,https://www.espn.com/nba/player/_/id/3893016/cedi-osman,SF,28,"6' 7""",230 lbs,--,$6_718_842,3893016,https://a.espncdn.com/i/headshots/nba/players/full/3893016.png
San Antonio Spurs,Jeremy Sochan,10,https://www.espn.com/nba/player/_/id/4610139/jeremy-sochan,F,20,"6' 8""",230 lbs,Baylor,$5_316_960,4610139,https://a.espncdn.com/i/headshots/nba/players/full/4610139.png
San Antonio Spurs,Devin Vassell,24,https://www.espn.com/nba/player/_/id/4395630/devin-vassell,SG,23,"6' 5""",200 lbs,Florida State,$5_887_899,4395630,https://a.espncdn.com/i/headshots/nba/players/full/4395630.png
San Antonio Spurs,Victor Wembanyama,1,https://www.espn.com/nba/player/_/id/5104157/victor-wembanyama,C,20,"7' 4""",210 lbs,--,$12_160_680,5104157,https://a.espncdn.com/i/headshots/nba/players/full/5104157.png
Toronto Raptors,Ochai Agbaji,30,https://www.espn.com/nba/player/_/id/4397018/ochai-agbaji,G,23,"6' 5""",215 lbs,Kansas,$4_114_200,4397018,https://a.espncdn.com/i/headshots/nba/players/full/4397018.png
Toronto Raptors,Scottie Barnes,4,https://www.espn.com/nba/player/_/id/4433134/scottie-barnes,SF,22,"6' 7""",237 lbs,Florida State,$8_008_560,4433134,https://a.espncdn.com/i/headshots/nba/players/full/4433134.png
Toronto Raptors,RJ Barrett,9,https://www.espn.com/nba/player/_/id/4395625/rj-barrett,SG,23,"6' 6""",214 lbs,Duke,$23_883_929,4395625,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png
